Player,Pos,Age,Tm,G,MP,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,Salary,Salary_M
Kevin Porter Jr.,PG,25.0,MIL,38.0,1261.0,18.7,0.567,24.3,1.5,1.3,2.8,0.106,0.8,1.2,2.0,1.3,36.0,17.4,5.2,7.4,2.2,0.5,2.9,0.465,0.322,0.878,5134000.0,5.134
Josh Okogie,SG,27.0,HOU,73.0,1259.0,10.0,0.557,11.4,1.0,1.5,2.5,0.097,-2.4,1.2,-1.2,0.2,29.0,4.6,2.5,0.8,0.8,0.2,0.5,0.438,0.397,0.571,2296274.0,2.296274
Yves Missi,C,21.0,NOP,65.0,1257.0,14.9,0.547,12.6,1.5,1.0,2.5,0.097,-1.5,-0.4,-1.9,0.0,13.0,5.5,5.7,1.2,0.3,1.5,0.8,0.533,0.0,0.561,3353040.0,3.35304
Kobe Sanders,SG,23.0,LAC,63.0,1249.0,9.2,0.583,16.1,0.0,0.9,0.9,0.034,-3.1,-0.5,-3.6,-0.5,16.0,6.9,2.3,1.6,0.7,0.1,1.3,0.46,0.402,0.789,475497.0,0.475497
Kris Murray,SF,25.0,POR,53.0,1249.0,9.5,0.538,10.7,0.8,1.2,2.0,0.076,-2.4,0.7,-1.6,0.1,15.0,5.8,3.7,1.4,0.9,0.4,0.8,0.457,0.265,0.706,3132000.0,3.132
Jaylin Williams,PF,23.0,OKC,62.0,1237.0,13.9,0.597,15.8,1.2,2.8,4.0,0.156,0.0,2.7,2.7,1.5,11.0,7.4,5.6,2.4,0.5,0.7,1.1,0.423,0.382,0.793,8450704.0,8.450704
Derrick Jones Jr.,SF,28.0,LAC,45.0,1226.0,13.6,0.605,15.2,1.6,1.1,2.6,0.104,-0.5,0.0,-0.5,0.5,40.0,10.4,3.3,1.4,1.0,1.0,0.8,0.504,0.352,0.759,10000000.0,10.0
Zach LaVine,SG,30.0,SAC,39.0,1224.0,14.7,0.614,23.7,1.2,0.1,1.3,0.05,0.7,-2.2,-1.5,0.2,37.0,19.2,2.8,2.3,0.7,0.3,1.9,0.479,0.39,0.88,47499660.0,47.49966
Darius Garland,PG,26.0,2TM,41.0,1224.0,17.4,0.59,27.3,1.7,0.8,2.5,0.097,2.5,-2.5,0.0,0.6,39.0,18.9,2.3,6.8,0.9,0.2,3.0,0.465,0.408,0.85,39446090.0,39.44609
Jordan Clarkson,SG,33.0,NYK,68.0,1223.0,11.8,0.551,21.0,0.9,1.0,1.9,0.076,-1.7,-1.5,-3.2,-0.4,1.0,8.8,1.8,1.3,0.4,0.1,0.9,0.45,0.333,0.824,12947835.0,12.947835
Stephen Curry,PG,37.0,GSW,39.0,1222.0,22.7,0.636,32.7,2.8,1.1,3.8,0.151,6.4,-1.0,5.4,2.3,39.0,27.2,3.5,4.8,1.1,0.4,2.8,0.468,0.391,0.931,59606817.0,59.606817
Drake Powell,SG,20.0,BRK,59.0,1204.0,7.7,0.541,14.5,-0.2,0.4,0.2,0.009,-4.2,-1.4,-5.6,-1.1,21.0,6.3,1.7,1.5,0.5,0.2,0.9,0.416,0.297,0.913,3372240.0,3.37224
Santi Aldama,PF,25.0,MEM,43.0,1198.0,16.4,0.572,20.2,1.3,1.1,2.4,0.097,1.3,0.4,1.7,1.1,11.0,14.0,6.7,2.9,0.9,0.7,1.3,0.479,0.35,0.667,18485916.0,18.485916
