Player,Pos,Age,Tm,G,MP,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,Salary,Salary_M
Amen Thompson,PG,23.0,HOU,75.0,2795.0,18.6,0.587,19.9,5.9,3.6,9.5,0.163,1.5,1.0,2.4,3.1,75.0,17.9,7.8,5.3,1.5,0.6,2.4,0.525,0.223,0.78,9690600.0,9.6906
Kevin Durant,SF,37.0,HOU,74.0,2690.0,21.0,0.638,27.1,6.8,3.0,9.9,0.176,4.2,0.1,4.3,4.2,74.0,25.8,5.4,4.7,0.8,0.9,3.2,0.518,0.409,0.877,54708609.0,54.708609
Desmond Bane,SG,27.0,ORL,77.0,2625.0,16.9,0.609,23.3,4.7,2.2,7.0,0.127,1.6,-0.4,1.2,2.1,77.0,20.4,4.2,4.2,1.0,0.4,2.0,0.485,0.391,0.92,36725670.0,36.72567
Mikal Bridges,SF,29.0,NYK,78.0,2596.0,15.2,0.584,17.4,4.5,3.2,7.7,0.142,1.2,1.3,2.6,3.0,78.0,14.7,3.9,3.8,1.3,0.8,1.1,0.487,0.371,0.832,24900000.0,24.9
Toumani Camara,PF,25.0,POR,78.0,2590.0,11.2,0.576,16.2,1.8,2.5,4.3,0.08,-1.1,0.0,-1.2,0.6,78.0,13.2,5.2,2.4,1.1,0.4,1.8,0.439,0.366,0.704,2221677.0,2.221677
Jamal Murray,PG,28.0,DEN,73.0,2579.0,22.0,0.621,28.0,7.6,1.7,9.3,0.173,5.5,-1.4,4.1,4.0,73.0,25.5,4.4,7.2,0.9,0.4,2.3,0.483,0.434,0.885,46394100.0,46.3941
Jabari Smith Jr.,PF,22.0,HOU,73.0,2561.0,13.5,0.567,18.1,3.1,3.1,6.2,0.117,-0.6,-0.1,-0.7,0.9,73.0,15.6,6.9,1.9,0.8,0.9,1.4,0.448,0.36,0.778,12350392.0,12.350392
Julius Randle,PF,31.0,MIN,77.0,2550.0,18.4,0.584,26.4,4.1,3.2,7.3,0.138,1.4,0.1,1.4,2.2,77.0,21.1,6.8,5.1,1.1,0.2,2.7,0.48,0.314,0.8,30864198.0,30.864198
Scottie Barnes,PF,24.0,TOR,75.0,2528.0,19.1,0.575,23.5,3.0,4.2,7.1,0.136,1.7,2.3,4.0,3.8,75.0,18.2,7.5,5.9,1.5,1.5,2.7,0.504,0.296,0.813,38661750.0,38.66175
Tyrese Maxey,PG,25.0,PHI,66.0,2523.0,22.2,0.59,29.5,5.8,2.5,8.4,0.159,5.1,0.5,5.6,4.8,66.0,28.6,4.2,6.7,1.9,0.8,2.4,0.463,0.37,0.89,37958760.0,37.95876
Derrick White,SG,31.0,BOS,73.0,2500.0,16.3,0.527,22.5,3.3,3.3,6.6,0.128,2.2,1.0,3.2,3.3,73.0,16.8,4.5,5.5,1.2,1.3,1.8,0.394,0.324,0.9,28100000.0,28.1
Nickeil Alexander-Walker,SG,27.0,ATL,75.0,2493.0,16.3,0.605,24.0,3.2,2.6,5.9,0.113,1.4,-0.5,0.9,1.8,68.0,20.6,3.5,3.7,1.3,0.5,2.1,0.454,0.394,0.9,15161800.0,15.1618
Jalen Brunson,PG,29.0,NYK,71.0,2482.0,19.9,0.579,30.2,6.2,2.1,8.4,0.162,3.9,-1.0,2.9,3.1,71.0,26.0,3.4,6.7,0.7,0.1,2.4,0.465,0.37,0.843,34944001.0,34.944001
VJ Edgecombe,SG,20.0,PHI,71.0,2472.0,13.9,0.543,20.1,1.8,2.2,4.1,0.079,-0.4,-0.2,-0.6,0.9,71.0,16.1,5.5,4.1,1.4,0.5,1.8,0.439,0.358,0.827,11108880.0,11.10888
Brandon Ingram,SF,28.0,TOR,72.0,2437.0,15.9,0.567,26.9,1.0,2.8,3.8,0.075,0.7,-0.6,0.1,1.3,72.0,21.4,5.6,3.6,0.8,0.7,2.5,0.472,0.377,0.82,38095238.0,38.095238
Jalen Johnson,SF,24.0,ATL,69.0,2432.0,20.8,0.584,27.0,3.8,3.8,7.5,0.148,3.1,1.4,4.5,4.0,69.0,22.8,10.3,8.0,1.3,0.4,3.4,0.493,0.351,0.784,30000000.0,30.0
Payton Pritchard,PG,28.0,BOS,75.0,2431.0,17.0,0.581,21.4,5.6,2.3,7.9,0.156,2.4,-0.4,2.1,2.5,50.0,17.0,4.0,5.1,0.7,0.1,1.4,0.461,0.372,0.886,7232143.0,7.232143
Kon Knueppel,SF,20.0,CHO,77.0,2424.0,17.7,0.644,22.2,5.8,2.3,8.1,0.161,3.6,-0.3,3.3,3.2,76.0,18.8,5.4,3.4,0.7,0.2,1.9,0.483,0.431,0.865,10015680.0,10.01568
Dyson Daniels,SG,22.0,ATL,73.0,2419.0,15.4,0.544,16.0,2.8,3.5,6.3,0.125,-0.6,1.8,1.1,1.9,73.0,11.8,6.7,5.9,2.0,0.4,1.8,0.519,0.182,0.623,7707709.0,7.707709
DeMar DeRozan,PF,36.0,SAC,76.0,2395.0,17.8,0.593,22.8,5.2,0.4,5.6,0.112,0.9,-1.0,-0.2,1.1,76.0,18.6,3.0,4.2,1.1,0.3,1.3,0.495,0.315,0.868,24570000.0,24.57
Donte DiVincenzo,SG,29.0,MIN,77.0,2379.0,12.6,0.57,16.8,2.2,2.9,5.2,0.105,0.0,0.9,0.9,1.7,77.0,12.3,4.2,3.9,1.3,0.4,1.5,0.408,0.381,0.758,11990000.0,11.99
James Harden,PG,36.0,2TM,67.0,2345.0,20.8,0.613,28.5,5.5,2.0,7.5,0.153,4.7,-0.8,3.9,3.5,67.0,23.6,4.9,8.1,1.1,0.4,3.5,0.436,0.374,0.881,39182693.0,39.182693
Trey Murphy III,SF,25.0,NOP,66.0,2341.0,18.4,0.613,22.9,4.5,1.6,6.1,0.124,3.0,-0.7,2.3,2.5,66.0,21.5,5.7,3.8,1.5,0.4,1.8,0.47,0.379,0.886,25000000.0,25.0
Jaylen Brown,SF,29.0,BOS,68.0,2336.0,22.3,0.572,36.3,3.6,3.2,6.8,0.14,3.7,-0.1,3.6,3.3,68.0,28.7,7.0,5.3,1.0,0.4,3.6,0.475,0.345,0.797,53142264.0,53.142264
Paolo Banchero,PF,23.0,ORL,67.0,2332.0,17.5,0.565,27.6,1.7,2.6,4.3,0.089,1.3,-0.2,1.1,1.8,67.0,22.2,8.3,5.1,0.6,0.6,3.0,0.457,0.312,0.775,15334769.0,15.334769
Rudy Gobert,C,33.0,MIN,74.0,2317.0,17.7,0.667,12.9,4.8,4.0,8.8,0.182,0.1,1.0,1.0,1.8,74.0,11.0,11.5,1.7,0.8,1.6,1.4,0.686,0.0,0.528,35000000.0,35.0
Ryan Rollins,PG,23.0,MIL,72.0,2310.0,16.1,0.581,24.1,1.5,1.7,3.2,0.067,0.6,-0.4,0.1,1.3,65.0,17.1,4.6,5.6,1.5,0.4,2.7,0.47,0.407,0.788,4000000.0,4.0
Luka Dončić,PG,26.0,LAL,64.0,2289.0,28.0,0.616,38.0,6.7,2.9,9.6,0.201,7.9,1.2,9.1,6.5,64.0,33.5,7.7,8.3,1.6,0.5,4.0,0.476,0.366,0.78,45999660.0,45.99966
Donovan Mitchell,SG,29.0,CLE,68.0,2275.0,22.8,0.611,32.1,5.5,2.4,7.9,0.167,5.1,-0.2,4.9,4.0,68.0,27.7,4.5,5.7,1.5,0.3,2.8,0.479,0.365,0.864,46394100.0,46.3941
Miles Bridges,PF,27.0,CHO,73.0,2274.0,15.8,0.566,22.6,3.6,2.4,6.0,0.126,1.0,-0.2,0.8,1.6,73.0,17.2,5.8,3.2,0.6,0.4,1.4,0.455,0.329,0.831,25000000.0,25.0
Alperen Şengün,C,23.0,HOU,68.0,2271.0,21.7,0.572,26.7,4.3,3.5,7.8,0.165,2.9,1.6,4.5,3.7,68.0,20.6,8.9,6.2,1.2,1.1,3.1,0.522,0.315,0.686,33944954.0,33.944954
Jaden McDaniels,PF,25.0,MIN,71.0,2262.0,14.0,0.617,18.2,2.6,2.8,5.4,0.114,-0.9,0.7,-0.2,1.0,71.0,14.8,4.2,2.7,1.1,1.0,1.8,0.518,0.421,0.839,24393104.0,24.393104
Karl-Anthony Towns,C,30.0,NYK,72.0,2230.0,21.7,0.615,26.0,5.1,3.8,8.9,0.192,2.5,0.4,2.9,2.8,72.0,20.1,11.9,2.9,0.8,0.5,2.5,0.496,0.368,0.855,53142264.0,53.142264
Bam Adebayo,C,28.0,MIA,69.0,2223.0,18.5,0.55,25.3,2.4,3.4,5.8,0.125,1.4,0.4,1.8,2.1,69.0,20.2,10.0,3.0,1.2,0.7,1.7,0.439,0.317,0.778,37096620.0,37.09662
Matas Buzelis,PF,21.0,CHI,76.0,2222.0,14.9,0.59,22.7,0.6,2.0,2.6,0.055,-0.6,-0.5,-1.0,0.5,76.0,16.3,5.8,2.0,0.7,1.5,2.1,0.465,0.356,0.787,5455560.0,5.45556
Saddiq Bey,SF,26.0,NOP,71.0,2207.0,17.1,0.58,21.5,4.4,1.0,5.4,0.117,2.3,-1.8,0.4,1.3,63.0,17.5,5.5,2.5,0.9,0.1,0.9,0.452,0.366,0.842,6118644.0,6.118644
Onyeka Okongwu,C,25.0,ATL,71.0,2201.0,16.2,0.594,19.8,2.6,3.3,5.9,0.128,0.0,0.9,0.9,1.6,60.0,15.4,7.7,3.2,1.1,1.1,1.7,0.482,0.379,0.755,15000000.0,15.0
Cooper Flagg,SF,19.0,DAL,65.0,2197.0,17.6,0.55,26.4,1.1,2.4,3.5,0.077,0.8,0.5,1.3,1.8,65.0,20.8,6.6,4.5,1.2,0.9,2.4,0.472,0.293,0.816,13825920.0,13.82592
Collin Gillespie,PG,26.0,PHO,76.0,2191.0,15.5,0.581,18.8,3.7,2.4,6.1,0.133,2.1,0.5,2.6,2.6,57.0,13.0,4.1,4.8,1.3,0.2,1.6,0.422,0.408,0.871,2296274.0,2.296274
Brandin Podziemski,SG,22.0,GSW,77.0,2189.0,14.8,0.576,19.8,2.5,2.3,4.8,0.105,0.2,0.1,0.3,1.3,38.0,13.5,5.3,3.8,1.1,0.2,1.6,0.451,0.369,0.781,3687960.0,3.68796
Shai Gilgeous-Alexander,PG,27.0,OKC,65.0,2177.0,31.0,0.664,33.5,10.8,4.1,14.8,0.327,8.8,3.0,11.8,7.5,65.0,31.6,4.4,6.5,1.4,0.8,2.2,0.551,0.38,0.881,38333050.0,38.33305
Immanuel Quickley,PG,26.0,TOR,67.0,2174.0,16.6,0.579,21.2,3.8,2.5,6.3,0.139,1.9,0.5,2.4,2.4,67.0,16.9,4.1,6.0,1.3,0.1,1.5,0.445,0.374,0.821,32500000.0,32.5
CJ McCollum,PG,34.0,2TM,73.0,2173.0,15.8,0.566,25.7,1.9,0.9,2.8,0.062,1.3,-1.9,-0.6,0.8,57.0,18.7,3.3,3.8,0.8,0.4,1.8,0.454,0.371,0.774,30666666.0,30.666666
Nikola Jokić,C,30.0,DEN,62.0,2172.0,32.3,0.672,30.4,11.0,3.2,14.3,0.315,10.0,4.1,14.1,8.8,62.0,27.9,12.9,10.9,1.4,0.8,3.8,0.571,0.383,0.827,55224526.0,55.224526
Wendell Carter Jr.,C,26.0,ORL,73.0,2162.0,14.4,0.62,15.8,3.3,2.6,5.9,0.13,-0.9,0.4,-0.5,0.8,73.0,12.0,7.5,2.0,0.8,0.6,1.3,0.512,0.324,0.807,10850000.0,10.85
Julian Champagnie,SF,24.0,SAS,78.0,2160.0,13.1,0.612,15.4,2.7,3.3,6.0,0.133,0.6,0.8,1.4,1.9,64.0,11.3,5.8,1.5,0.8,0.4,0.9,0.437,0.386,0.841,3000000.0,3.0
OG Anunoby,PF,28.0,NYK,64.0,2135.0,15.9,0.621,19.8,3.0,3.1,6.1,0.137,1.0,1.1,2.1,2.2,64.0,16.9,5.3,2.2,1.6,0.7,1.9,0.486,0.388,0.823,39568966.0,39.568966
Naji Marshall,SF,28.0,DAL,72.0,2132.0,15.6,0.595,20.6,2.5,1.8,4.4,0.099,-0.6,0.1,-0.5,0.8,45.0,15.4,4.7,3.3,1.1,0.1,1.6,0.512,0.295,0.765,9000000.0,9.0
Royce O'Neale,SF,32.0,PHO,74.0,2129.0,11.5,0.594,14.3,1.7,2.6,4.3,0.098,-0.4,0.9,0.5,1.4,67.0,9.9,4.8,2.7,1.1,0.4,1.4,0.419,0.407,0.722,10125000.0,10.125
Bub Carrington,PG,20.0,WAS,77.0,2126.0,9.6,0.545,17.6,-0.4,-0.1,-0.5,-0.011,-2.4,-2.4,-4.8,-1.5,43.0,10.2,3.4,4.6,0.6,0.2,2.2,0.414,0.396,0.721,4677600.0,4.6776
Max Christie,SG,22.0,DAL,72.0,2114.0,10.8,0.599,16.4,1.1,1.3,2.4,0.056,-1.1,-0.6,-1.7,0.2,63.0,12.2,3.3,2.0,0.6,0.3,1.3,0.443,0.405,0.892,7714286.0,7.714286
Quentin Grimes,SG,25.0,PHI,71.0,2112.0,13.0,0.588,18.9,1.9,1.5,3.4,0.077,-0.8,-0.7,-1.5,0.3,19.0,13.5,3.7,3.4,0.9,0.4,1.8,0.452,0.332,0.837,8741209.0,8.741209
De'Aaron Fox,PG,28.0,SAS,68.0,2109.0,17.6,0.58,24.7,3.2,2.9,6.1,0.139,1.5,0.7,2.2,2.3,68.0,18.5,3.8,6.2,1.2,0.3,2.3,0.488,0.331,0.762,37096620.0,37.09662
Anthony Edwards,SG,24.0,MIN,60.0,2109.0,21.9,0.617,31.5,3.9,2.8,6.6,0.151,4.7,0.0,4.7,3.5,59.0,28.9,5.0,3.7,1.4,0.8,2.8,0.489,0.398,0.796,45550512.0,45.550512
Kris Dunn,PG,31.0,LAC,77.0,2101.0,11.5,0.584,12.5,1.8,2.1,3.9,0.088,-2.2,1.4,-0.8,0.6,63.0,7.4,3.3,3.6,1.6,0.2,1.3,0.478,0.375,0.775,5426400.0,5.4264
A.J. Green,SG,26.0,MIL,73.0,2097.0,9.0,0.617,13.6,1.6,0.3,2.0,0.045,-1.9,-1.7,-3.6,-0.8,63.0,9.8,2.6,2.0,0.5,0.1,0.9,0.418,0.41,0.842,2301587.0,2.301587
Cade Cunningham,PG,24.0,DET,61.0,2096.0,21.9,0.567,30.7,4.2,3.6,7.8,0.178,5.0,1.6,6.6,4.5,61.0,24.5,5.6,9.9,1.5,0.9,3.7,0.461,0.346,0.814,46394100.0,46.3941
Tim Hardaway Jr.,SG,33.0,DEN,77.0,2057.0,13.7,0.629,18.5,3.4,0.9,4.4,0.102,1.4,-1.9,-0.5,0.7,5.0,13.6,2.6,1.3,0.5,0.1,0.5,0.451,0.411,0.813,2296274.0,2.296274
Pascal Siakam,PF,31.0,IND,62.0,2057.0,18.7,0.562,30.1,1.2,1.4,2.6,0.062,1.8,-1.1,0.7,1.4,62.0,24.0,6.6,3.8,1.1,0.4,2.2,0.484,0.358,0.693,45550512.0,45.550512
Deni Avdija,SF,25.0,POR,62.0,2054.0,20.2,0.596,29.2,4.1,2.3,6.4,0.15,3.6,0.5,4.2,3.2,62.0,23.9,7.0,6.7,0.8,0.6,3.8,0.458,0.317,0.799,14375000.0,14.375
Duncan Robinson,SF,31.0,DET,74.0,2041.0,12.2,0.623,15.6,3.6,2.3,5.9,0.138,0.7,-0.1,0.7,1.4,74.0,12.0,2.7,2.1,0.6,0.3,0.7,0.448,0.408,0.76,16834692.0,16.834692
Reed Sheppard,SG,21.0,HOU,77.0,2037.0,15.7,0.565,21.7,2.6,2.9,5.5,0.13,1.2,1.5,2.7,2.4,18.0,13.6,2.9,3.5,1.5,0.7,1.6,0.43,0.396,0.807,10603560.0,10.60356
Devin Booker,SG,29.0,PHO,61.0,2035.0,20.2,0.583,32.1,4.2,1.7,5.9,0.139,3.1,-1.0,2.1,2.1,61.0,25.7,3.9,6.0,0.8,0.3,3.2,0.456,0.328,0.868,53142264.0,53.142264
Jaime Jaquez Jr.,SF,24.0,MIA,71.0,2009.0,15.6,0.564,22.3,2.0,1.9,3.9,0.093,0.1,0.0,0.1,1.1,1.0,15.2,5.1,4.7,0.7,0.3,2.0,0.501,0.305,0.771,3861600.0,3.8616
Evan Mobley,PF,24.0,CLE,62.0,1991.0,20.0,0.595,22.4,3.5,2.8,6.3,0.152,1.9,1.3,3.2,2.6,60.0,18.1,9.0,3.6,0.8,1.8,1.8,0.544,0.299,0.606,46394100.0,46.3941
Donovan Clingan,C,21.0,POR,73.0,1983.0,20.6,0.6,16.8,4.7,3.3,7.9,0.192,2.1,0.6,2.8,2.4,73.0,12.0,11.6,2.1,0.6,1.7,1.3,0.52,0.327,0.673,7178400.0,7.1784
Cason Wallace,SG,22.0,OKC,74.0,1980.0,12.1,0.536,14.5,1.0,4.1,5.1,0.123,-2.1,3.3,1.2,1.6,58.0,8.6,3.1,2.6,2.0,0.4,1.0,0.433,0.344,0.803,5820240.0,5.82024
Stephon Castle,PG,21.0,SAS,66.0,1978.0,17.2,0.576,25.0,2.7,2.8,5.5,0.134,0.9,0.8,1.7,1.8,65.0,16.7,5.2,7.3,1.1,0.3,3.2,0.474,0.326,0.733,9560520.0,9.56052
Andrew Wiggins,SF,30.0,MIA,64.0,1960.0,15.5,0.587,19.7,2.2,2.3,4.5,0.111,0.9,0.6,1.5,1.7,64.0,15.6,5.0,2.7,1.2,1.1,1.5,0.478,0.417,0.787,28223215.0,28.223215
Kawhi Leonard,SF,34.0,LAC,61.0,1957.0,28.2,0.63,33.6,6.2,2.6,8.8,0.216,7.4,0.7,8.1,5.0,61.0,28.0,6.3,3.6,2.0,0.4,2.0,0.505,0.385,0.899,50000000.0,50.0
Jeremiah Fears,PG,19.0,NOP,78.0,1952.0,13.1,0.521,25.0,-1.1,1.3,0.2,0.004,-1.8,-1.3,-3.1,-0.5,45.0,13.3,3.6,3.3,1.1,0.4,2.2,0.432,0.343,0.785,7520040.0,7.52004
Naz Reid,C,26.0,MIN,74.0,1935.0,15.4,0.567,22.0,0.9,3.2,4.0,0.1,0.0,1.1,1.0,1.5,2.0,13.6,6.3,2.2,1.0,1.0,1.6,0.456,0.364,0.733,21551724.0,21.551724
Devin Vassell,SG,25.0,SAS,63.0,1923.0,13.1,0.576,18.0,2.3,2.5,4.7,0.118,0.3,0.4,0.7,1.3,61.0,14.0,4.0,2.5,0.8,0.4,0.9,0.438,0.389,0.816,27000000.0,27.0
Chet Holmgren,PF,23.0,OKC,66.0,1922.0,21.0,0.646,21.7,4.1,4.5,8.5,0.213,2.1,1.7,3.8,2.8,66.0,16.9,8.8,1.7,0.6,1.8,1.5,0.55,0.346,0.799,13731368.0,13.731368
Jake LaRavia,PF,24.0,LAL,77.0,1920.0,12.0,0.573,14.4,1.7,1.9,3.6,0.09,-1.5,0.3,-1.2,0.4,39.0,8.3,3.9,1.8,1.2,0.5,1.0,0.462,0.32,0.768,6000000.0,6.0
Nic Claxton,C,26.0,BRK,69.0,1920.0,17.6,0.592,17.7,3.3,1.5,4.9,0.122,0.3,0.6,0.9,1.4,68.0,11.7,6.9,3.7,0.7,1.1,1.4,0.571,0.158,0.616,25352272.0,25.352272
Davion Mitchell,PG,27.0,MIA,67.0,1914.0,12.0,0.579,13.5,2.5,1.7,4.2,0.104,-1.4,0.5,-0.9,0.6,67.0,9.2,2.7,6.5,1.0,0.2,1.5,0.483,0.395,0.672,11600000.0,11.6
Josh Hart,SF,30.0,NYK,63.0,1899.0,16.0,0.609,16.7,3.1,2.9,6.0,0.151,1.1,2.1,3.2,2.5,49.0,12.1,7.6,4.9,1.1,0.3,1.9,0.507,0.409,0.723,19472240.0,19.47224
Ace Bailey,SF,19.0,UTA,69.0,1896.0,11.7,0.537,21.2,-0.1,0.2,0.1,0.004,-1.7,-2.5,-4.3,-1.1,58.0,13.6,4.1,1.8,0.8,0.7,1.4,0.444,0.348,0.767,9069840.0,9.06984
Jalen Duren,C,22.0,DET,67.0,1895.0,26.1,0.684,23.6,6.8,3.7,10.5,0.266,4.3,0.5,4.9,3.3,67.0,19.5,10.6,1.9,0.8,0.9,1.8,0.645,,0.748,6483144.0,6.483144
Bruce Brown,SG,29.0,DEN,78.0,1894.0,10.6,0.558,14.4,1.0,1.6,2.7,0.068,-2.6,0.1,-2.5,-0.3,2.0,7.8,3.8,2.0,1.0,0.2,1.1,0.47,0.39,0.761,2296274.0,2.296274
Harrison Barnes,PF,33.0,SAS,73.0,1889.0,11.9,0.607,14.7,2.6,2.1,4.7,0.119,0.0,0.2,0.1,1.0,52.0,10.0,2.8,2.0,0.7,0.2,0.8,0.453,0.391,0.828,19000000.0,19.0
Derik Queen,C,21.0,NOP,77.0,1888.0,15.7,0.544,21.7,0.4,2.1,2.5,0.063,-1.5,0.7,-0.8,0.6,45.0,11.4,6.8,3.7,1.0,0.9,2.3,0.472,0.265,0.792,5157960.0,5.15796
LaMelo Ball,PG,24.0,CHO,68.0,1888.0,19.4,0.539,31.7,3.2,2.4,5.6,0.142,4.3,-0.1,4.2,3.0,65.0,19.5,4.8,7.1,1.2,0.2,2.7,0.403,0.365,0.89,37958760.0,37.95876
LeBron James,SF,41.0,LAL,56.0,1870.0,20.1,0.591,26.6,3.0,1.8,4.8,0.123,2.9,0.0,2.9,2.3,56.0,20.6,6.0,6.9,1.1,0.6,2.9,0.511,0.313,0.744,52627153.0,52.627153
Jarace Walker,PF,22.0,IND,73.0,1866.0,11.5,0.547,20.5,-0.8,1.4,0.5,0.013,-1.8,-0.8,-2.6,-0.3,38.0,11.5,5.1,2.4,0.8,0.3,1.8,0.421,0.376,0.753,6665520.0,6.66552
Myles Turner,C,29.0,MIL,69.0,1863.0,13.9,0.584,18.5,1.1,1.7,2.8,0.071,-1.0,0.0,-1.0,0.5,69.0,11.8,5.2,1.4,0.7,1.6,1.2,0.437,0.387,0.74,25318251.0,25.318251
Russell Westbrook,SF,37.0,SAC,64.0,1853.0,15.1,0.528,25.9,-0.6,1.0,0.3,0.009,0.6,-1.1,-0.5,0.7,58.0,15.2,5.4,6.7,1.3,0.2,3.3,0.427,0.338,0.694,2296274.0,2.296274
Brandon Miller,SF,23.0,CHO,61.0,1842.0,17.1,0.579,28.3,2.1,2.2,4.3,0.112,1.9,-0.1,1.9,1.8,61.0,20.4,5.0,3.4,1.0,0.7,2.6,0.437,0.392,0.892,11968800.0,11.9688
Anthony Black,PG,22.0,ORL,60.0,1841.0,13.8,0.552,22.0,0.4,2.2,2.5,0.066,-1.1,0.5,-0.6,0.7,40.0,15.3,3.9,3.8,1.4,0.7,2.1,0.451,0.339,0.73,7970280.0,7.97028
Sam Hauser,PF,28.0,BOS,74.0,1832.0,11.9,0.587,14.4,2.6,2.0,4.6,0.121,0.5,0.0,0.5,1.1,45.0,9.1,3.9,1.4,0.5,0.3,0.5,0.418,0.39,0.842,10044644.0,10.044644
Neemias Queta,C,26.0,BOS,72.0,1830.0,19.9,0.664,14.8,4.8,3.4,8.2,0.215,0.5,1.9,2.4,2.0,71.0,10.1,8.4,1.6,0.8,1.3,1.0,0.643,0.0,0.699,2349578.0,2.349578
Deandre Ayton,C,27.0,LAL,67.0,1830.0,18.1,0.678,16.5,3.6,2.0,5.7,0.148,0.0,-0.9,-0.8,0.5,67.0,12.4,8.2,0.8,0.6,0.9,1.2,0.674,,0.63,33654814.0,33.654814
Maxime Raynaud,C,22.0,SAC,70.0,1828.0,15.8,0.615,18.0,2.4,0.9,3.3,0.087,-1.1,-1.6,-2.7,-0.3,52.0,12.1,7.4,1.3,0.5,0.5,1.2,0.57,0.297,0.786,1272870.0,1.27287
Victor Wembanyama,C,22.0,SAS,62.0,1824.0,29.5,0.623,32.1,4.7,4.9,9.6,0.254,6.2,4.2,10.4,5.7,53.0,24.9,11.6,3.1,1.0,3.1,2.4,0.509,0.35,0.828,13376880.0,13.37688
Jaylen Wells,SG,22.0,MEM,69.0,1821.0,11.5,0.559,19.4,0.9,0.8,1.8,0.047,-1.8,-1.4,-3.1,-0.5,69.0,12.5,3.2,1.6,0.9,0.1,1.1,0.431,0.353,0.784,1955377.0,1.955377
Zion Williamson,PF,25.0,NOP,61.0,1813.0,22.8,0.645,25.9,5.0,1.0,6.1,0.16,3.5,-0.7,2.8,2.2,54.0,21.1,5.7,3.2,1.0,0.5,2.0,0.602,0.25,0.715,39446090.0,39.44609
Keldon Johnson,SF,26.0,SAS,78.0,1812.0,17.1,0.618,20.6,3.7,2.4,6.1,0.162,1.2,-0.2,0.9,1.3,0.0,13.0,5.3,1.4,0.5,0.1,0.8,0.525,0.373,0.798,17500000.0,17.5
Ausar Thompson,SF,23.0,DET,69.0,1794.0,16.0,0.539,17.1,1.3,4.0,5.2,0.14,-0.8,3.6,2.8,2.2,68.0,9.9,5.8,3.0,2.0,0.9,1.5,0.518,0.261,0.565,8775000.0,8.775
Moussa Diabaté,C,24.0,CHO,69.0,1791.0,17.4,0.652,11.6,4.4,2.6,7.1,0.189,0.5,1.1,1.6,1.6,43.0,8.0,8.8,1.8,0.8,1.0,1.0,0.63,0.5,0.659,2270735.0,2.270735
Ayo Dosunmu,SG,26.0,2TM,66.0,1787.0,16.6,0.63,20.2,3.5,1.3,4.7,0.126,1.4,-0.2,1.2,1.5,17.0,14.7,3.5,3.7,0.8,0.3,1.3,0.515,0.446,0.868,7518518.0,7.518518
Andrew Nembhard,PG,26.0,IND,57.0,1786.0,15.7,0.564,23.6,2.2,0.6,2.8,0.075,1.2,-2.0,-0.8,0.5,57.0,16.9,2.8,7.7,0.9,0.1,2.4,0.442,0.361,0.825,18102000.0,18.102
Keyonte George,PG,22.0,UTA,54.0,1786.0,18.7,0.609,28.0,3.2,0.1,3.3,0.088,3.1,-2.1,0.9,1.3,54.0,23.6,3.7,6.1,1.1,0.3,3.1,0.456,0.371,0.892,4278960.0,4.27896
Tristan Da Silva,SF,24.0,ORL,72.0,1784.0,12.3,0.579,16.3,1.3,1.8,3.2,0.086,-0.5,0.1,-0.5,0.7,33.0,10.1,3.7,1.5,0.9,0.3,0.8,0.45,0.384,0.89,3809520.0,3.80952
Noah Clowney,PF,21.0,BRK,66.0,1780.0,11.2,0.554,20.4,0.0,1.1,1.1,0.03,-2.2,-1.1,-3.4,-0.6,60.0,12.3,4.1,1.6,0.8,0.7,1.5,0.396,0.329,0.804,3398640.0,3.39864
Rui Hachimura,PF,27.0,LAL,63.0,1773.0,11.1,0.613,14.9,1.7,1.0,2.7,0.073,-1.0,-1.5,-2.5,-0.2,36.0,11.1,3.2,0.8,0.5,0.3,0.6,0.506,0.43,0.733,18259259.0,18.259259
Sion James,SG,23.0,CHO,78.0,1764.0,8.4,0.545,10.7,1.3,1.8,3.2,0.086,-2.8,1.0,-1.8,0.1,19.0,5.4,3.4,2.0,0.6,0.3,0.8,0.379,0.365,0.845,2296274.0,2.296274
Pelle Larsson,SG,24.0,MIA,67.0,1764.0,13.4,0.609,16.5,2.6,1.5,4.1,0.112,-1.0,0.1,-0.9,0.5,52.0,11.3,3.5,3.4,0.7,0.2,1.4,0.5,0.322,0.792,1955377.0,1.955377
Kyle Kuzma,PF,30.0,MIL,67.0,1763.0,14.3,0.579,21.9,0.9,1.0,1.9,0.052,-1.0,-1.3,-2.3,-0.1,42.0,13.2,4.6,2.6,0.7,0.4,1.6,0.49,0.345,0.724,22410605.0,22.410605
Draymond Green,PF,35.0,GSW,64.0,1762.0,10.4,0.538,16.4,-0.5,2.0,1.6,0.043,-2.4,1.0,-1.4,0.3,64.0,8.6,5.5,5.4,0.9,0.6,2.7,0.417,0.327,0.692,25892857.0,25.892857
Austin Reaves,SG,27.0,LAL,51.0,1762.0,20.3,0.641,26.7,4.3,1.4,5.6,0.153,3.4,-0.8,2.6,2.1,45.0,23.3,4.7,5.5,1.1,0.4,3.0,0.49,0.36,0.871,13937574.0,13.937574
